"gene_name","gene_id","gene_biotype","Mock","Rabies","log2FoldChange","padj"
"Gm25493","ENSMUSG00000088000","snRNA",0,0,,
"Gm2053","ENSMUSG00000103265","processed_pseudogene",0,0.02,1.19,
"Gm6123","ENSMUSG00000103922","processed_pseudogene",0.04,0.05,0.49,
"Mrpl15","ENSMUSG00000033845","protein_coding",36,35.1,-0.04,0.999947203556063
"Gm37144","ENSMUSG00000102275","TEC",1.09,0.99,-0.13,0.999947203556063
"Lypla1","ENSMUSG00000025903","protein_coding",13.76,15.81,0.2,0.999947203556063
"Gm37988","ENSMUSG00000104217","protein_coding",0,0,,
"Tcea1","ENSMUSG00000033813","protein_coding",15.59,25.52,0.77,0.999947203556063
"Gm6104","ENSMUSG00000062588","processed_pseudogene",0.04,0.04,0.11,
"Gm37277","ENSMUSG00000103280","TEC",1.63,1.81,0.16,0.999947203556063
"Rgs20","ENSMUSG00000002459","protein_coding",22.2,18.31,-0.26,0.999947203556063
"Gm17100","ENSMUSG00000091305","processed_pseudogene",0,0.02,1.39,
"Gm37079","ENSMUSG00000102653","TEC",0,0.02,1.72,
"Gm16041","ENSMUSG00000085623","lncRNA",0.16,0.1,-0.61,
"Gm17101","ENSMUSG00000091665","processed_pseudogene",0,0.01,0.98,
"Atp6v1h","ENSMUSG00000033793","protein_coding",132.37,131.27,-0.01,0.999947203556063
"Gm7182","ENSMUSG00000104352","processed_pseudogene",0,0,,
"Gm37567","ENSMUSG00000104046","TEC",0.04,0.19,2.25,
"Gm38264","ENSMUSG00000102907","TEC",0,0,,
"Oprk1","ENSMUSG00000025905","protein_coding",8.32,5.23,-0.65,0.999947203556063
"Gm36965","ENSMUSG00000103936","processed_pseudogene",0,0,,
"Gm22463","ENSMUSG00000093015","miRNA",0,0,,
"Gm37429","ENSMUSG00000103519","TEC",0,0.02,1.19,
"Npbwr1","ENSMUSG00000033774","protein_coding",1.36,0.84,-0.64,0.999947203556063
"Gm19214","ENSMUSG00000103090","processed_pseudogene",0,0,,
"Rb1cc1","ENSMUSG00000025907","protein_coding",61.54,70.63,0.2,0.999947203556063
"4732440D04Rik","ENSMUSG00000090031","lncRNA",4.66,4.2,-0.14,0.999947203556063
"Alkal1","ENSMUSG00000087247","protein_coding",0,0.02,1.39,
"Gm2147","ENSMUSG00000103355","processed_pseudogene",0,0,,
"Gm7417","ENSMUSG00000102706","processed_pseudogene",0,0,,
"Gm19026","ENSMUSG00000103845","processed_pseudogene",0.97,0.56,-0.78,0.999947203556063
"St18","ENSMUSG00000033740","protein_coding",21.23,23.04,0.12,0.999947203556063
"Gm42492","ENSMUSG00000103329","TEC",2.8,2.13,-0.38,0.999947203556063
"Gm7449","ENSMUSG00000104385","processed_pseudogene",0,0,,
"Gm37108","ENSMUSG00000102135","processed_pseudogene",0.12,0.08,-0.49,
"Gm37275","ENSMUSG00000103282","processed_pseudogene",0,0,,
"Gm37225","ENSMUSG00000102534","processed_pseudogene",0,0,,
"Gm37489","ENSMUSG00000102213","processed_pseudogene",0,0,,
"Gm5694","ENSMUSG00000103629","processed_pseudogene",0,0,,
"Pcmtd1","ENSMUSG00000051285","protein_coding",85.52,83.36,-0.04,0.999947203556063
"Gm26983","ENSMUSG00000098201","processed_pseudogene",0.04,0.01,-2.09,
"Gm38372","ENSMUSG00000103509","TEC",1.01,1.28,0.38,0.999947203556063
"Gm9826","ENSMUSG00000048538","processed_pseudogene",0,0.04,2.33,
"Nras-ps2","ENSMUSG00000103709","processed_pseudogene",0,0,,
"Gm23274","ENSMUSG00000077244","snoRNA",0,0,,
"Gm19002","ENSMUSG00000102768","processed_pseudogene",0,0,,
"Gm26901","ENSMUSG00000097797","lncRNA",1.32,0.69,-0.89,0.999947203556063
"Gm18984","ENSMUSG00000103498","processed_pseudogene",0,0,,
"Gm30414","ENSMUSG00000103067","lncRNA",0,0,,
"Gm37791","ENSMUSG00000102320","processed_pseudogene",0,0,,
"Gm7470","ENSMUSG00000104226","processed_pseudogene",0,0,,
"Rps2-ps2","ENSMUSG00000103903","processed_pseudogene",0.04,0,-3.35,
"Gm38216","ENSMUSG00000103557","processed_pseudogene",0,0,,
"Sntg1","ENSMUSG00000025909","protein_coding",19.05,17.46,-0.12,0.999947203556063
"Gm38024","ENSMUSG00000102647","TEC",0.04,0.03,-0.38,
"Gm16284","ENSMUSG00000086235","processed_pseudogene",0.08,0.13,0.69,
"Gm38259","ENSMUSG00000102253","TEC",0,0.02,1.78,
"Gm23358","ENSMUSG00000093970","miRNA",0,0.04,2.54,
"Gm37005","ENSMUSG00000103884","TEC",0,0,,
"Gm15452","ENSMUSG00000084353","processed_pseudogene",0,0,,
"Gm36964","ENSMUSG00000103933","processed_pseudogene",0.16,0.13,-0.24,
"Gm24276","ENSMUSG00000076135","miRNA",0,0,,
"Gm6152","ENSMUSG00000086195","processed_pseudogene",0,0,,
"Gm7445","ENSMUSG00000104504","processed_pseudogene",0,0,,
"Gm7493","ENSMUSG00000066693","processed_pseudogene",0,0.05,2.74,
"Gm37629","ENSMUSG00000102316","TEC",0.35,0.19,-0.81,
"Gm38008","ENSMUSG00000103819","processed_pseudogene",0,0,,
"Gm37143","ENSMUSG00000102871","TEC",0,0.01,0.98,
"Gm6187","ENSMUSG00000101571","processed_pseudogene",0,0.01,0.35,
"Gm18299","ENSMUSG00000104428","processed_pseudogene",0,0,,
"Gm7512","ENSMUSG00000102272","processed_pseudogene",0,0.02,1.72,
"Gm24765","ENSMUSG00000065625","snRNA",0,0,,
"Gm18300","ENSMUSG00000103411","processed_pseudogene",0.04,0.03,-0.09,
"Rrs1","ENSMUSG00000061024","protein_coding",26.86,30.54,0.19,0.999947203556063
"Adhfe1","ENSMUSG00000025911","protein_coding",11.39,14.76,0.37,0.999947203556063
"2610203C22Rik","ENSMUSG00000079671","lncRNA",0.86,0.9,0.1,0.999947203556063
"Gm6161","ENSMUSG00000081441","processed_pseudogene",0.12,0.04,-1.47,
"Vxn","ENSMUSG00000067879","protein_coding",165.02,75.28,-0.85,0.999947203556063
"Gm29520","ENSMUSG00000099827","lncRNA",0,0.24,5.17,
"Mybl1","ENSMUSG00000025912","protein_coding",2.92,4.41,0.6,0.999947203556063
"Vcpip1","ENSMUSG00000045210","protein_coding",54.15,72.68,0.44,0.999947203556063
"1700034P13Rik","ENSMUSG00000097893","lncRNA",0.39,0.21,-0.89,
"Sgk3","ENSMUSG00000025915","protein_coding",11.74,24.62,1.1,0.676787794122751
"Gm6195","ENSMUSG00000046334","processed_pseudogene",0,0,,
"Gm22607","ENSMUSG00000088916","snRNA",0,0,,
"Mcmdc2","ENSMUSG00000046101","protein_coding",0.12,0.14,0.24,
"Snhg6","ENSMUSG00000098234","lncRNA",8.55,11.17,0.4,0.999947203556063
"Snord87","ENSMUSG00000093178","snoRNA",0.16,0.08,-0.77,
"Tcf24","ENSMUSG00000099032","protein_coding",0.58,0.66,0.26,0.999947203556063
"E330040D14Rik","ENSMUSG00000104025","TEC",0.04,0.04,-0.14,
"Ppp1r42","ENSMUSG00000025916","protein_coding",0.58,0.55,-0.03,0.999947203556063
"Gm15818","ENSMUSG00000087199","lncRNA",0,0,,
"Gm24674","ENSMUSG00000095780","snRNA",0.04,0.01,-1.46,
"Cops5","ENSMUSG00000025917","protein_coding",67.21,58.98,-0.19,0.999947203556063
"Cspp1","ENSMUSG00000056763","protein_coding",33.9,29.01,-0.21,0.999947203556063
"1700047N06Rik","ENSMUSG00000102356","TEC",0,0,,
"Arfgef1","ENSMUSG00000067851","protein_coding",80.66,101.95,0.35,0.999947203556063
"Gm26348","ENSMUSG00000088153","misc_RNA",0,0.02,1.39,
"Gm37569","ENSMUSG00000102556","TEC",0,0.01,0.98,
"Cpa6","ENSMUSG00000042501","protein_coding",0.86,0.5,-0.78,0.999947203556063
"Gm38005","ENSMUSG00000103810","TEC",0,0.01,0.35,
"Gm15604","ENSMUSG00000083422","processed_pseudogene",0.31,0.17,-0.68,
"Gm25253","ENSMUSG00000094979","snRNA",0,0,,
"Gm15603","ENSMUSG00000081417","processed_pseudogene",0.04,0.01,-1.46,
"Gm37133","ENSMUSG00000103448","TEC",0,0,,
"Gm5522","ENSMUSG00000100212","processed_pseudogene",0,0,,
"Gm28659","ENSMUSG00000100648","processed_pseudogene",0.27,0.01,-4.88,
"Gm22963","ENSMUSG00000088585","snoRNA",0,0,,
"Prex2","ENSMUSG00000048960","protein_coding",48.59,43.5,-0.14,0.999947203556063
"Gm24173","ENSMUSG00000077318","snoRNA",0,0,,
"Gm28686","ENSMUSG00000101827","processed_pseudogene",0.31,0.12,-1.28,
"Gm37410","ENSMUSG00000103494","TEC",0,0,,
"A830018L16Rik","ENSMUSG00000057715","protein_coding",39.22,21.85,-0.7,0.999947203556063
"Gm38178","ENSMUSG00000103825","TEC",0.35,0.13,-1.41,
"Gm29273","ENSMUSG00000099845","processed_pseudogene",0,0,,
"Gm38069","ENSMUSG00000103561","TEC",0.23,0.06,-1.91,
"Gm7560","ENSMUSG00000101610","processed_pseudogene",0,0,,
"Gm22633","ENSMUSG00000093864","snRNA",0,0,,
"Mir6341","ENSMUSG00000098555","miRNA",0,0,,
"Gm2383","ENSMUSG00000097628","processed_pseudogene",0.19,0.11,-0.77,
"Gm6216","ENSMUSG00000098163","processed_pseudogene",0,0.01,0.35,
"Gm17644","ENSMUSG00000097171","lncRNA",0,0,,
"Gm29663","ENSMUSG00000101314","lncRNA",0,0.02,1.19,
"Sulf1","ENSMUSG00000016918","protein_coding",22.27,27.89,0.33,0.999947203556063
"Slco5a1","ENSMUSG00000025938","protein_coding",5.52,8.3,0.73,0.999947203556063
"Gm37162","ENSMUSG00000104518","TEC",0,0.02,1.19,
"Gm5250","ENSMUSG00000069620","processed_pseudogene",0,0.04,2.31,
"Gm29283","ENSMUSG00000099498","lncRNA",0,0,,
"Prdm14","ENSMUSG00000042414","protein_coding",0,0.09,3.74,
"Ncoa2","ENSMUSG00000005886","protein_coding",82.18,90.33,0.14,0.999947203556063
"Gm38376","ENSMUSG00000103506","TEC",0.04,0.06,0.77,
"Gm37409","ENSMUSG00000103495","TEC",0.08,0.02,-1.74,
"Gm27881","ENSMUSG00000099183","miRNA",0,0.01,0.35,
"Gm38223","ENSMUSG00000102639","TEC",0.04,0.01,-2.09,
"Gm37702","ENSMUSG00000104170","TEC",0,0.02,1.39,
"Gm23169","ENSMUSG00000087782","snRNA",0,0,,
"Gm38120","ENSMUSG00000103085","TEC",0.04,0.23,2.55,
"Gm38380","ENSMUSG00000102664","TEC",0.12,0.04,-1.47,
"Gm29570","ENSMUSG00000101476","lncRNA",0.08,0.07,-0.24,
"Gm7593","ENSMUSG00000101171","processed_pseudogene",0,0,,
"Tram1","ENSMUSG00000025935","protein_coding",29.19,33.12,0.18,0.999947203556063
"Lactb2","ENSMUSG00000025937","protein_coding",10.92,11.19,0.04,0.999947203556063
"Gm38319","ENSMUSG00000102982","TEC",0,0.16,4.5,
"Xkr9","ENSMUSG00000067813","protein_coding",0,0.01,0.35,
"Gm26273","ENSMUSG00000077368","snoRNA",0,0,,
"Gm5523","ENSMUSG00000097711","processed_pseudogene",0.19,0.19,-0.02,
"Gm36947","ENSMUSG00000102166","TEC",0.08,0.03,-1.39,
"Gm25491","ENSMUSG00000089358","misc_RNA",0,0,,
"Gm37400","ENSMUSG00000104209","TEC",0,0,,
"Eya1","ENSMUSG00000025932","protein_coding",7.35,6.94,-0.06,0.999947203556063
"Gm22616","ENSMUSG00000095853","miRNA",0,0.01,0.35,
"Gm37444","ENSMUSG00000102588","TEC",0.04,0.01,-2.09,
"Gm9947","ENSMUSG00000054493","lncRNA",0.43,0.44,0.03,0.999947203556063
"Msc","ENSMUSG00000025930","protein_coding",1.44,1.12,-0.33,0.999947203556063
"Gm37412","ENSMUSG00000103492","TEC",0.31,0.61,0.98,0.999947203556063
"Smt3h2-ps4","ENSMUSG00000081201","processed_pseudogene",0,0.01,0.35,
"Rpl5-ps1","ENSMUSG00000082193","processed_pseudogene",0.27,0.17,-0.66,
"Trpa1","ENSMUSG00000032769","protein_coding",0.19,0.29,0.57,
"Gm26345","ENSMUSG00000088159","snoRNA",0,0,,
"Gm10566","ENSMUSG00000073737","processed_pseudogene",0.19,0.15,-0.37,
"Kcnb2","ENSMUSG00000092083","protein_coding",15.08,13.91,-0.08,0.999947203556063
"Gm38116","ENSMUSG00000102937","TEC",0,0.04,2.55,
"Gm37138","ENSMUSG00000104149","TEC",0,0.02,1.39,
"Gm25227","ENSMUSG00000088829","snoRNA",0,0,,
"Gm25168","ENSMUSG00000077377","snoRNA",0,0,,
"Gm6060","ENSMUSG00000101652","processed_pseudogene",0.04,0.01,-1.46,
"Gm28669","ENSMUSG00000100814","processed_pseudogene",0.04,0,-3.35,
"Terf1","ENSMUSG00000025925","protein_coding",10.26,10.97,0.1,0.999947203556063
"Gm37509","ENSMUSG00000104379","TEC",0.19,0.23,0.26,
"Sbspon","ENSMUSG00000032719","protein_coding",0.35,0.32,-0.12,
"Gm23259","ENSMUSG00000088943","misc_RNA",0,0,,
"Gm7634","ENSMUSG00000100652","processed_pseudogene",0,0.01,0.35,
"4930444P10Rik","ENSMUSG00000067795","protein_coding",0.7,0.51,-0.46,0.999947203556063
"Rpl7","ENSMUSG00000043716","protein_coding",126.5,181.67,0.55,0.999947203556063
"Rdh10","ENSMUSG00000025921","protein_coding",11.86,15.63,0.42,0.999947203556063
"Gm38249","ENSMUSG00000104165","TEC",0.12,0.21,0.84,
"Gm28095","ENSMUSG00000100868","lncRNA",0.12,0.13,0.11,
"Stau2","ENSMUSG00000025920","protein_coding",139.95,102.85,-0.42,0.999947203556063
"Gm7568","ENSMUSG00000089982","lncRNA",0.04,0.05,0.29,
"Ube2w","ENSMUSG00000025939","protein_coding",40.74,36.33,-0.16,0.999947203556063
"Gm38342","ENSMUSG00000102457","TEC",0.54,0.89,0.82,0.999947203556063
"Eloc","ENSMUSG00000079658","protein_coding",92.01,75.33,-0.29,0.999947203556063
"D030040B21Rik","ENSMUSG00000097744","lncRNA",0,0.04,2.31,
"Gm7654","ENSMUSG00000100959","processed_pseudogene",0,0.04,2.54,
"Tmem70","ENSMUSG00000025940","protein_coding",30.67,24.84,-0.3,0.999947203556063
"Ly96","ENSMUSG00000025779","protein_coding",0.66,1.2,0.86,0.999947203556063
"Gm29649","ENSMUSG00000100093","processed_pseudogene",0,0.01,0.98,
"Gm5828","ENSMUSG00000091020","processed_pseudogene",1.4,1.57,0.17,0.999947203556063
"Gm28376","ENSMUSG00000101640","lncRNA",0,0.02,1.19,
"4921511E07Rik","ENSMUSG00000104133","TEC",0,0,,
"Jph1","ENSMUSG00000042686","protein_coding",20.99,16.53,-0.3,0.999947203556063
"Gm28783","ENSMUSG00000100110","lncRNA",0,0.01,0.98,
"Gdap1","ENSMUSG00000025777","protein_coding",111.88,89.69,-0.3,0.999947203556063
"Gm28784","ENSMUSG00000099899","lncRNA",0.51,0.57,0.22,0.999947203556063
"Gm28785","ENSMUSG00000100272","processed_pseudogene",0.04,0.04,-0.14,
"Gm5251","ENSMUSG00000100398","processed_pseudogene",0,0.02,1.72,
"Rbm6-ps1","ENSMUSG00000101589","processed_pseudogene",0.19,0.22,0.19,
"Gm6075","ENSMUSG00000102048","processed_pseudogene",0,0.01,0.35,
"Gm25166","ENSMUSG00000089534","snoRNA",0,0,,
"Pi15","ENSMUSG00000067780","protein_coding",0.39,0.68,0.81,0.999947203556063
"Gm28154","ENSMUSG00000100053","lncRNA",0.7,0.24,-1.45,0.999947203556063
"Gm16070","ENSMUSG00000085125","lncRNA",0.04,0.18,2.21,
"Crispld1","ENSMUSG00000025776","protein_coding",2.49,2.88,0.24,0.999947203556063
"Gm28153","ENSMUSG00000099895","lncRNA",0.12,0.06,-0.81,
"Gm7690","ENSMUSG00000100554","processed_pseudogene",0,0.01,0.98,
"Gm18775","ENSMUSG00000099473","transcribed_unprocessed_pseudogene",0,0.01,0.35,
"Gm17969","ENSMUSG00000099591","processed_pseudogene",0.12,0.03,-1.9,
"Gm28756","ENSMUSG00000109887","lncRNA",1.52,0.87,-0.71,0.999947203556063
"Gm28755","ENSMUSG00000102001","unprocessed_pseudogene",0,0,,
"Gm45784","ENSMUSG00000101717","transcribed_unprocessed_pseudogene",0,0,,
"Crisp4","ENSMUSG00000025774","protein_coding",0,0,,
"Defb44-ps","ENSMUSG00000070977","unprocessed_pseudogene",0,0,,
"Defb18","ENSMUSG00000073735","protein_coding",0.04,0,-3.35,
"Defb41","ENSMUSG00000067773","protein_coding",0.04,0.02,-1.26,
"Gm17837","ENSMUSG00000101685","processed_pseudogene",0,0.01,0.98,
"Gm5252","ENSMUSG00000101306","processed_pseudogene",0,0,,
"Gm24075","ENSMUSG00000088800","snoRNA",0,0,,
"Gm28343","ENSMUSG00000101644","processed_pseudogene",0,0,,
"Gm28344","ENSMUSG00000099433","processed_pseudogene",0,0,,
"Gm15825","ENSMUSG00000089787","lncRNA",0.04,0.15,1.94,
"Tfap2d","ENSMUSG00000042596","protein_coding",1.32,1.41,0.1,0.999947203556063
"Gm10075","ENSMUSG00000100720","processed_pseudogene",0,0.01,0.35,
"Tfap2b","ENSMUSG00000025927","protein_coding",13.37,10.95,-0.29,0.999947203556063
"Gm28340","ENSMUSG00000100538","lncRNA",0,0,,
"Gm28341","ENSMUSG00000101117","processed_pseudogene",0,0,,
"Gm4849","ENSMUSG00000100204","processed_pseudogene",0,0.03,2.06,
"Gm24633","ENSMUSG00000084668","snoRNA",0,0,,
"Gm38382","ENSMUSG00000102597","TEC",0,0,,
"Pkhd1","ENSMUSG00000043760","protein_coding",0,0.04,2.54,
"Gm37315","ENSMUSG00000104095","TEC",0,0.01,0.35,
"4930486I03Rik","ENSMUSG00000089914","lncRNA",0,0.02,1.72,
"Gm15795","ENSMUSG00000090142","processed_pseudogene",0,0,,
"Gm24162","ENSMUSG00000070175","snRNA",0,0,,
"Gm28653","ENSMUSG00000099906","lncRNA",0.31,0.05,-2.67,
"Mir206","ENSMUSG00000065559","miRNA",0,0,,
"Mir133b","ENSMUSG00000065480","miRNA",0,0,,
"Il17a","ENSMUSG00000025929","protein_coding",0,0.01,0.35,
"Il17f","ENSMUSG00000041872","protein_coding",0.04,0.05,0.46,
"Mcm3","ENSMUSG00000041859","protein_coding",3.69,10.15,1.48,0.338741654531747
"Gm20587","ENSMUSG00000099714","processed_pseudogene",0,0.02,1.72,
"Gm28065","ENSMUSG00000102121","lncRNA",0,0,,
"Gm24723","ENSMUSG00000088858","snoRNA",0,0,,
"6720483E21Rik","ENSMUSG00000097934","lncRNA",1.09,0.68,-0.65,0.999947203556063
"Paqr8","ENSMUSG00000025931","protein_coding",160.94,149.91,-0.1,0.999947203556063
"Gm24171","ENSMUSG00000077314","snoRNA",0,0.03,2.06,
"Gm28064","ENSMUSG00000100929","processed_pseudogene",0,0.09,3.66,
"Efhc1","ENSMUSG00000041809","protein_coding",1.94,1.46,-0.38,0.999947203556063
"Tram2","ENSMUSG00000041779","protein_coding",2.88,8.44,1.58,0.314702020798579
"Gm28287","ENSMUSG00000099971","lncRNA",0,0,,
"Gm2693","ENSMUSG00000100819","unprocessed_pseudogene",0.23,0.17,-0.44,
"Tmem14a","ENSMUSG00000025933","protein_coding",23.56,11.61,-0.87,0.999947203556063
"Gm38224","ENSMUSG00000102633","TEC",0,0.07,3.33,
"Gsta3","ENSMUSG00000025934","protein_coding",1.52,1.42,-0.07,0.999947203556063
"Gm28836","ENSMUSG00000099343","lncRNA",0.16,0.06,-1.36,
"Gm7094","ENSMUSG00000096375","unprocessed_pseudogene",0,0.04,2.54,
"Gm4956","ENSMUSG00000025936","transcribed_unprocessed_pseudogene",0,0.02,1.72,
"Gm21909","ENSMUSG00000093963","unprocessed_pseudogene",0,0,,
"Khdc1a","ENSMUSG00000067750","protein_coding",0,0.04,2.54,
"Gm16329","ENSMUSG00000086194","unprocessed_pseudogene",0,0,,
"Gm16327","ENSMUSG00000094436","processed_pseudogene",0,0,,
"Khdc1c","ENSMUSG00000041722","protein_coding",0,0.02,1.39,
"Gm2709","ENSMUSG00000085507","unprocessed_pseudogene",0.04,0,-3.35,
"Gm16533","ENSMUSG00000094926","processed_pseudogene",0,0.02,1.19,
"Khdc1b","ENSMUSG00000085079","protein_coding",0,0.02,1.72,
"Gm16328","ENSMUSG00000085679","processed_pseudogene",0,0,,
"Kcnq5","ENSMUSG00000028033","protein_coding",53.84,43.3,-0.28,0.999947203556063
"Gm36949","ENSMUSG00000104138","TEC",0.04,0.05,0.31,
"Gm7658","ENSMUSG00000082935","processed_pseudogene",1.09,1.09,0.05,0.999947203556063
"Gm38243","ENSMUSG00000103748","TEC",0,0.06,3.07,
"Gm26580","ENSMUSG00000097109","lncRNA",0.82,0.71,-0.13,0.999947203556063
"Gm5696","ENSMUSG00000099692","processed_pseudogene",0,0,,
"Gm28239","ENSMUSG00000100418","processed_pseudogene",0,0,,
"Rims1","ENSMUSG00000041670","protein_coding",246.07,134.12,-0.75,0.999947203556063
"Gm26866","ENSMUSG00000097642","processed_pseudogene",0,0.02,1.78,
"Gm7761","ENSMUSG00000101468","processed_pseudogene",0.04,0.02,-1.06,
"Gm29506","ENSMUSG00000101227","lncRNA",0.16,0.02,-2.61,
"4933415F23Rik","ENSMUSG00000073730","protein_coding",0,0.02,1.78,
"Gm24176","ENSMUSG00000089553","snoRNA",0,0,,
"Gm6420","ENSMUSG00000102766","TEC",0,0.02,1.39,
"Mir30a","ENSMUSG00000065405","miRNA",0,0,,
"Gm27028","ENSMUSG00000097970","lncRNA",0.27,0.34,0.33,
"Mir30c-2","ENSMUSG00000065567","miRNA",0,0,,
"Gm29107","ENSMUSG00000100775","lncRNA",0.16,0.13,-0.31,
"Gm20954","ENSMUSG00000101226","processed_pseudogene",0,0.02,1.19,
"Ogfrl1","ENSMUSG00000026158","protein_coding",142.71,119.67,-0.23,0.999947203556063
"Gm7784","ENSMUSG00000097920","processed_pseudogene",0.19,0.07,-1.41,
"Gm28822","ENSMUSG00000099503","lncRNA",0.04,0.05,0.46,
"B3gat2","ENSMUSG00000026156","protein_coding",15.08,10.24,-0.51,0.999947203556063
"Smap1","ENSMUSG00000026155","protein_coding",33.98,29.8,-0.18,0.999947203556063
"Sdhaf4","ENSMUSG00000026154","protein_coding",13.45,7.16,-0.85,0.999947203556063
"Gm26524","ENSMUSG00000102495","TEC",0.12,0.06,-0.97,
"Fam135a","ENSMUSG00000026153","protein_coding",31.1,33.2,0.1,0.999947203556063
"Gm37580","ENSMUSG00000102398","TEC",0.16,0.13,-0.3,
"Gm26607","ENSMUSG00000097670","processed_pseudogene",0,0,,
"Col9a1","ENSMUSG00000026147","protein_coding",1.79,3.21,0.93,0.999947203556063
"Col19a1","ENSMUSG00000026141","protein_coding",17.42,12.55,-0.42,0.999947203556063
"Gm26418","ENSMUSG00000077463","snoRNA",0,0,,
"Tubb4b-ps2","ENSMUSG00000099997","processed_pseudogene",0.08,0.12,0.64,
"Gm28439","ENSMUSG00000100131","unprocessed_pseudogene",0.27,0.13,-1.13,
"Gm10222","ENSMUSG00000067736","unprocessed_pseudogene",0.43,0.54,0.33,0.999947203556063
"Gm28438","ENSMUSG00000101939","unprocessed_pseudogene",9.52,8.91,-0.09,0.999947203556063
"Gm28437","ENSMUSG00000101111","unprocessed_pseudogene",0.16,0.13,-0.16,
"Gm10925","ENSMUSG00000100862","unprocessed_pseudogene",0.58,0.26,-1.14,0.999947203556063
"Gm28661","ENSMUSG00000102070","unprocessed_pseudogene",0.51,0.27,-0.91,
"Gm29216","ENSMUSG00000101249","unprocessed_pseudogene",0.66,0.78,0.24,0.999947203556063
"Lmbrd1","ENSMUSG00000073725","protein_coding",158.53,142.3,-0.16,0.999947203556063
"Gm28594","ENSMUSG00000100808","processed_pseudogene",0,0,,
"Gm28237","ENSMUSG00000100483","lncRNA",0,0,,
"Gm9443","ENSMUSG00000100450","processed_pseudogene",0,0.02,1.72,
"Gm29414","ENSMUSG00000099392","lncRNA",0,0.02,1.19,
"Adgrb3","ENSMUSG00000033569","protein_coding",86.46,72.28,-0.24,0.999947203556063
"Gm15702","ENSMUSG00000080849","processed_pseudogene",0.08,0.02,-1.74,
"Gm20172","ENSMUSG00000104257","TEC",0.23,0.04,-2.41,
"Gm22260","ENSMUSG00000096866","snRNA",0,0.01,0.35,
"Gm37543","ENSMUSG00000102296","TEC",0,0.05,2.74,
"Gm37331","ENSMUSG00000103209","TEC",0.23,0.2,-0.24,
"Gm37211","ENSMUSG00000104027","TEC",0.16,0.17,0.11,
"Gm37862","ENSMUSG00000102407","TEC",0.08,0.08,0,
"Gm38286","ENSMUSG00000103214","TEC",0,0.22,4.96,
"Gm37880","ENSMUSG00000104100","TEC",0.23,0.13,-0.8,
"Gm25294","ENSMUSG00000084740","snRNA",0,0,,
"Gm37011","ENSMUSG00000103889","TEC",0.19,0.26,0.44,
"Gm29214","ENSMUSG00000101301","processed_pseudogene",0.43,0.2,-1.11,
"Gm37051","ENSMUSG00000104221","TEC",0.12,0.06,-0.81,
"Gm38260","ENSMUSG00000102250","TEC",0.31,0.07,-1.95,
"Gm37628","ENSMUSG00000102317","TEC",0.12,0.1,-0.18,
"8030445P17Rik","ENSMUSG00000103563","TEC",0.27,0.23,-0.25,
"Gm38198","ENSMUSG00000102465","TEC",0.51,0.33,-0.56,0.999947203556063
"Gm37077","ENSMUSG00000102659","TEC",0.39,0.23,-0.72,
"Gm37895","ENSMUSG00000103924","TEC",0.16,0.11,-0.46,
"Gm36952","ENSMUSG00000104132","TEC",0.31,0.14,-1.11,
